# [category_name],[id],[device],[focal_plane],[detector],[geometry],[channel]
cat,id,dev,fp,det,geo,ch

# FE9-1 Anode
"src1y",46,  11,12,31,1,73
"src1y",47,  11,12,31,1,72
"src1y",48,  11,12,31,1,87
"src1y",49,  11,12,31,1,86
"src1y",50,  11,12,31,1,85
"src1y",51,  11,12,31,1,84
"src1y",52,  11,12,31,1,71
"src1y",53,  11,12,31,1,70
"src1y",54,  11,12,31,1,69
"src1y",55,  11,12,31,1,68
"src1y",56,  11,12,31,1,83
"src1y",57,  11,12,31,1,82

# FE12-2 Anode
"src2a", 0,  11,12,31,2,1

# FE12-2 X
"src2x", 0,  11,12,31,2,63
"src2x", 1,  11,12,31,2,62
"src2x", 2,  11,12,31,2,61
"src2x", 3,  11,12,31,2,60
"src2x", 4,  11,12,31,2,47
"src2x", 5,  11,12,31,2,46
"src2x", 6,  11,12,31,2,45
"src2x", 7,  11,12,31,2,44
"src2x", 8,  11,12,31,2,59
"src2x", 9,  11,12,31,2,58
"src2x",10,  11,12,31,2,57
"src2x",11,  11,12,31,2,56
"src2x",12,  11,12,31,2,43
"src2x",13,  11,12,31,2,42
"src2x",14,  11,12,31,2,41
"src2x",15,  11,12,31,2,40
"src2x",16,  11,12,31,2,55
"src2x",17,  11,12,31,2,54
"src2x",18,  11,12,31,2,53
"src2x",19,  11,12,31,2,52
"src2x",20,  11,12,31,2,39
"src2x",21,  11,12,31,2,38
"src2x",22,  11,12,31,2,37
"src2x",23,  11,12,31,2,36
"src2x",24,  11,12,31,2,51
"src2x",25,  11,12,31,2,50
"src2x",26,  11,12,31,2,49
"src2x",27,  11,12,31,2,48
"src2x",28,  11,12,31,2,35
"src2x",29,  11,12,31,2,34
"src2x",30,  11,12,31,2,33
"src2x",31,  11,12,31,2,32
"src2x",32,  11,12,31,2,95
"src2x",33,  11,12,31,2,94
"src2x",34,  11,12,31,2,93
"src2x",35,  11,12,31,2,92
"src2x",36,  11,12,31,2,79
"src2x",37,  11,12,31,2,78
"src2x",38,  11,12,31,2,77
"src2x",39,  11,12,31,2,76
"src2x",40,  11,12,31,2,91
"src2x",41,  11,12,31,2,90
"src2x",42,  11,12,31,2,89
"src2x",43,  11,12,31,2,88
