x,y
0.123, 0.987669
0.124, 0.989182
0.125, 0.990552
0.126, 0.991865
0.127, 0.993093
0.128, 0.994035
0.129, 0.994919
0.13, 0.995604
0.131, 0.996175
0.132, 0.99666
0.133, 0.997231
0.134, 0.997602
0.135, 0.997973
0.136, 0.998173
0.137, 0.998259
0.138, 0.998459
0.139, 0.998716
0.14, 0.998801
0.141, 0.998858
0.142, 0.998915
0.143, 0.998915
0.144, 0.998972
0.145, 0.99903
0.146, 0.99903
0.147, 0.99903
0.148, 0.999058
0.149, 0.999058
0.15, 0.999058
0.151, 0.999058
0.152, 0.999058
0.153, 0.999058
0.154, 0.999058
0.155, 0.999058
0.156, 0.999058
0.157, 0.999087
0.158, 0.999115
0.159, 0.999115
0.16, 0.999115
0.161, 0.999144
0.162, 0.999144
0.163, 0.999144
0.164, 0.999144
0.165, 0.999144
0.166, 0.999144
0.167, 0.999144
0.168, 0.999144
0.169, 0.999144
0.17, 0.999144
0.171, 0.999144
0.172, 0.999144
0.173, 0.999144
0.174, 0.999144
0.175, 0.999144
0.176, 0.999144
0.177, 0.999144
0.178, 0.999144
0.179, 0.999144
0.18, 0.999144
0.181, 0.999144
0.182, 0.999144
0.183, 0.999144
0.184, 0.999144
0.185, 0.999144
0.186, 0.999144
0.187, 0.999144
0.188, 0.999144
0.189, 0.999144
0.19, 0.999144
0.191, 0.999144
0.192, 0.999144
0.193, 0.999144
0.194, 0.999144
0.195, 0.999144
0.196, 0.999144
0.197, 0.999144
0.198, 0.999172
0.199, 0.999201
0.2, 0.999201
0.201, 0.999201
0.202, 0.999201
0.203, 0.999201
0.204, 0.999201
0.205, 0.999201
0.206, 0.999201
0.207, 0.999201
0.208, 0.999201
0.209, 0.999201
0.21, 0.999201
0.211, 0.999201
0.212, 0.999201
0.213, 0.999201
0.214, 0.999201
0.215, 0.999201
0.216, 0.999201
0.217, 0.999201
0.218, 0.999201
0.219, 0.999229
0.22, 0.999229
0.221, 0.999229
0.222, 0.999229
0.223, 0.999229
0.224, 0.999229
0.225, 0.999229
0.226, 0.999229
0.227, 0.999229
0.228, 0.999229
0.229, 0.999229
0.23, 0.999229
0.231, 0.999229
0.232, 0.999229
0.233, 0.999229
0.234, 0.999229
0.235, 0.999229
0.236, 0.999229
0.237, 0.999229
0.238, 0.999229
0.239, 0.999229
0.24, 0.999229
0.241, 0.999229
0.242, 0.999229
0.243, 0.999229
0.244, 0.999229
0.245, 0.999229
0.246, 0.999229
0.247, 0.999229
0.248, 0.999229
0.249, 0.999229
0.25, 0.999229
0.251, 0.999229
0.252, 0.999229
0.253, 0.999229
0.254, 0.999229
0.255, 0.999258
0.256, 0.999258
0.257, 0.999258
0.258, 0.999258
0.259, 0.999258
0.26, 0.999258
0.261, 0.999258
0.262, 0.999286
0.263, 0.999286
0.264, 0.999286
0.265, 0.999286
0.266, 0.999286
0.267, 0.999286
0.268, 0.999286
0.269, 0.999286
0.27, 0.999286
0.271, 0.999286
0.272, 0.999315
0.273, 0.999315
0.274, 0.999315
0.275, 0.999315
0.276, 0.999315
0.277, 0.999315
0.278, 0.999315
0.279, 0.999315
0.28, 0.999315
0.281, 0.999315
0.282, 0.999315
0.283, 0.999315
0.284, 0.999344
0.285, 0.999344
0.286, 0.999344
0.287, 0.999344
0.288, 0.999344
0.289, 0.999344
0.29, 0.999372
0.291, 0.999372
0.292, 0.999372
0.293, 0.999372
0.294, 0.999372
0.295, 0.999372
0.296, 0.999372
0.297, 0.999372
0.298, 0.999372
0.299, 0.999372
0.3, 0.999372
0.301, 0.999372
0.302, 0.999372
0.303, 0.999372
0.304, 0.999372
0.305, 0.999372
0.306, 0.999372
0.307, 0.999372
0.308, 0.999372
0.309, 0.999372
0.31, 0.999372
0.311, 0.999401
0.312, 0.999401
0.313, 0.999401
0.314, 0.999401
0.315, 0.999401
0.316, 0.999401
0.317, 0.999401
0.318, 0.999401
0.319, 0.999401
0.32, 0.999401
0.321, 0.999401
0.322, 0.999401
0.323, 0.999429
0.324, 0.999429
0.325, 0.999429
0.326, 0.999429
0.327, 0.999429
0.328, 0.999458
0.329, 0.999458
0.33, 0.999458
0.331, 0.999458
0.332, 0.999486
0.333, 0.999486
0.334, 0.999486
0.335, 0.999486
0.336, 0.999486
0.337, 0.999486
0.338, 0.999486
0.339, 0.999486
0.34, 0.999486
0.341, 0.999486
0.342, 0.999486
0.343, 0.999515
0.344, 0.999515
0.345, 0.999543
0.346, 0.999543
0.347, 0.999543
0.348, 0.999543
0.349, 0.999543
0.35, 0.999543
0.351, 0.999572
0.352, 0.999629
0.353, 0.999686
0.354, 0.999715
0.355, 0.999743
0.356, 0.999743
0.357, 0.999743
0.358, 0.999743
0.359, 0.999743
0.36, 0.999743
0.361, 0.999743
0.362, 0.999772
0.363, 0.999772
0.364, 0.999772
0.365, 0.999772
0.366, 0.999829
0.367, 0.999829
0.368, 0.999829
0.369, 0.999829
0.37, 0.999829
0.371, 0.999829
0.372, 0.999829
0.373, 0.999829
0.374, 0.999829
0.375, 0.999829
0.376, 0.999857
0.377, 0.999857
0.378, 0.999857
0.379, 0.999857
0.38, 0.999857
0.381, 0.999857
0.382, 0.999857
0.383, 0.999886
0.384, 0.999886
0.385, 0.999886
0.386, 0.999886
0.387, 0.999886
0.388, 0.999886
0.389, 0.999886
0.39, 0.999886
0.391, 0.999914
0.392, 0.999914
0.393, 0.999914
0.394, 0.999914
0.395, 0.999914
0.396, 0.999914
0.397, 0.999943
0.398, 0.999971
0.399, 1
0.4, 1
1.0, 1
